Id,place_city,place_country,place_state
628,Delhi,India,Delhi
629,Kolkata,India,West Bengal
630,Kolkata,India,West Bengal
631,Chepauk,India,Tamil Nadu
632,Kolkata,India,West Bengal
633,Mumbai,India,Maharashtra
634,Jaipur,India,Rajasthan
635,Banglore,India,Karnataka
636,Visakhapatnam,India,Andhra Pradesh
637,Jaipur,India,Rajasthan
638,Pune,India,Maharashtra
639,Visakhapatnam,India,Andhra Pradesh
640,Banglore,India,Karnataka
641,Delhi,India,Delhi
642,Mumbai,India,Maharashtra
643,Chepauk,India,Tamil Nadu
644,Mohali,India,Punjab
645,Kolkata,India,West Bengal
646,Pune,India,Maharashtra
647,Kolkata,India,West Bengal
648,Banglore,India,Karnataka
649,Mumbai,India,Maharashtra
650,Jaipur,India,Rajasthan
651,Banglore,India,Karnataka
652,Mohali,India,Punjab
653,Delhi,India,Delhi
654,Chepauk,India,Tamil Nadu
655,Mohali,India,Punjab
656,Chepauk,India,Tamil Nadu
657,Delhi,India,Delhi
658,Mumbai,India,Maharashtra
659,Cuttack,India,Odisha
660,Jaipur,India,Rajasthan
661,Pune,India,Maharashtra
662,Kolkata,India,West Bengal
663,Mohali,India,Punjab
664,Banglore,India,Karnataka
665,Pune,India,Maharashtra
666,Delhi,India,Delhi
667,Chepauk,India,Tamil Nadu
668,Kolkata,India,West Bengal
669,Delhi,India,Delhi
670,Mumbai,India,Maharashtra
671,Chepauk,India,Tamil Nadu
672,Cuttack,India,Odisha
673,Jaipur,India,Rajasthan
674,Banglore,India,Karnataka
675,Pune,India,Maharashtra
676,Chepauk,India,Tamil Nadu
677,Kolkata,India,West Bengal
678,Mohali,India,Punjab
679,Mumbai,India,Maharashtra
680,Banglore,India,Karnataka
681,Delhi,India,Delhi
682,Pune,India,Maharashtra
683,Hyderabad,India,Telengana
684,Mumbai,India,Maharashtra
685,Hyderabad,India,Telengana
686,Jaipur,India,Rajasthan
687,Pune,India,Maharashtra
688,Kolkata,India,West Bengal
689,Chepauk,India,Tamil Nadu
690,Jaipur,India,Rajasthan
691,Mohali,India,Punjab
692,Banglore,India,Karnataka
693,Kolkata,India,West Bengal
694,Delhi,India,Delhi
695,Mumbai,India,Maharashtra
696,Dharamshala,India,Himachal Pradesh
697,Delhi,India,Delhi
698,Hyderabad,India,Telengana
699,Dharamshala,India,Himachal Pradesh
700,Pune,India,Maharashtra
701,Hyderabad,India,Telengana
702,Jaipur,India,Rajasthan
703,Pune,India,Maharashtra
704,Banglore,India,Karnataka
705,Chepauk,India,Tamil Nadu
706,Chepauk,India,Tamil Nadu
707,Chepauk,India,Tamil Nadu
708,Hyderabad,India,Telengana
709,Kochi,India,Kerala
710,Delhi,India,Delhi
711,Mumbai,India,Maharashtra
712,Kolkata,India,West Bengal
713,Jaipur,India,Rajasthan
714,Banglore,India,Karnataka
715,Mohali,India,Punjab
716,Mumbai,India,Maharashtra
717,Hyderabad,India,Telengana
718,Jaipur,India,Rajasthan
719,Mumbai,India,Maharashtra
720,Chepauk,India,Tamil Nadu
721,Hyderabad,India,Telengana
722,Mumbai,India,Maharashtra
723,Kolkata,India,West Bengal
724,Kochi,India,Kerala
725,Delhi,India,Delhi
726,Banglore,India,Karnataka
727,Mumbai,India,Maharashtra
728,Kolkata,India,West Bengal
729,Mohali,India,Punjab
730,Kolkata,India,West Bengal
731,Mumbai,India,Maharashtra
732,Delhi,India,Delhi
733,Hyderabad,India,Telengana
734,Jaipur,India,Rajasthan
735,Chepauk,India,Tamil Nadu
736,Delhi,India,Delhi
737,Mumbai,India,Maharashtra
738,Kochi,India,Kerala
739,Delhi,India,Delhi
740,Jaipur,India,Rajasthan
741,Banglore,India,Karnataka
742,Kochi,India,Kerala
743,Kolkata,India,West Bengal
744,Jaipur,India,Rajasthan
745,Chepauk,India,Tamil Nadu
746,Mumbai,India,Maharashtra
747,Delhi,India,Delhi
748,Hyderabad,India,Telengana
749,Chepauk,India,Tamil Nadu
750,Mumbai,India,Maharashtra
751,Kochi,India,Kerala
752,Hyderabad,India,Telengana
753,Banglore,India,Karnataka
754,Kolkata,India,West Bengal
755,Mumbai,India,Maharashtra
756,Banglore,India,Karnataka
757,Mohali,India,Punjab
758,Jaipur,India,Rajasthan
759,Hyderabad,India,Telengana
760,Mohali,India,Punjab
761,Jaipur,India,Rajasthan
762,Chepauk,India,Tamil Nadu
763,Indore,India,Madhya Pradesh
764,Banglore,India,Karnataka
765,Mumbai,India,Maharashtra
766,Dharamshala,India,Himachal Pradesh
767,Indore,India,Madhya Pradesh
